,col_name,Label,Sample Name,formula,name
6,23629.60929,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
7,24827.30053,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
8,26908.33816,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
9,23692.48053,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
10,23440.44053,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
11,25293.57631,C13_192.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 192/67
0,398462.820404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
1,349260.320404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
2,167452.020404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
3,344027.980404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
4,338921.720404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
5,432662.840404,C13_193.0_68.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/68
6,55413.085501,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
7,54496.504582,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
8,53816.67632,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
9,54168.860404,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
10,54421.020404,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
11,54862.300404,C13_193.0_68.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/68
0,82464.1005457,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
1,60463.2405457,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
2,25117.0759757,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
3,72131.5942357,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
4,71979.8295857,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
5,87948.6605457,C13_195.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/70
6,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
7,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
8,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
9,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
10,7.52054567968,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
11,0.0,C13_195.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/70
0,28678.9367215,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
1,23667.0367215,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
2,8568.97672148,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
3,31389.5967215,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
4,27185.7625415,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
5,34037.2967215,C13_195.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/69
6,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
7,0.0,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
8,175.50412258,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
9,733.34192048,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
10,661.32627348,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
11,1004.15672148,C13_195.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/69
0,17489.2387642,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
1,15282.8987642,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
2,5133.39876416,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
3,17047.9587642,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
4,14778.6387642,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
5,20301.7771342,C13_194.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/70
6,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
7,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
8,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
9,0.0,C13_194.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/70
