,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
7250,36457.0915,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7251,108863.2835,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 143),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7252,145703.4125,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 144),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7253,151866.842,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 145),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7254,160082.909,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 146),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7255,7575.1505,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 147),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7256,6934.1255,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 148),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7257,16558.508,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 149),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7258,41851.8505,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 150),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7259,133250.5,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 151),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7260,175744.7165,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 152),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7261,155333.142,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 153),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7262,224909.841,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 154),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7263,8984.9165,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 155),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7264,6677.9675,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 156),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7265,18229.675,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 157),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7266,51732.9165,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 158),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7267,147313.6805,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 159),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7268,198082.0085,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 160),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7269,157257.0675,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 161),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7270,176384.259,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 162),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7271,8089.659,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 163),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7272,7188.1915,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 164),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7273,8728.658,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 165),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7274,38111.04839,Malate 135/117,G9,True,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 166),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7275,128886.958,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 167),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7276,136334.0665,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 168),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7277,130939.941,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 169),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7278,160465.558,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 170),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7279,9885.8835,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 171),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
7280,5391.5665,Malate 135/117,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 172),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_135.0_117.0
